Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-22-2025,14548.40931372549,2020 Bolt EV,13758,-3.09,-5.15,-15.1
07-24-2025,14551.652388797364,2020 Bolt EV,13758,-3.09,-5.15,-15.1
07-26-2025,14539.696031746033,2020 Bolt EV,13758,-3.09,-5.15,-15.1
07-28-2025,14521.3752,2020 Bolt EV,13758,-3.09,-5.15,-15.1
07-30-2025,14486.826051779935,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-01-2025,14457.199843260189,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-03-2025,14446.82457496136,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-05-2025,14447.256944444445,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-07-2025,14439.090255591054,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-09-2025,14437.489273927393,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-11-2025,14447.444839857651,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-13-2025,14461.541818181819,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-15-2025,14462.841904761905,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-17-2025,14477.501028806584,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-19-2025,14495.910514541387,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-21-2025,14526.007352941177,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-23-2025,14543.175601750547,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-25-2025,14548.569284064664,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-27-2025,14555.550233644859,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-29-2025,14558.8,2020 Bolt EV,13758,-3.09,-5.15,-15.1
08-31-2025,14539.11815920398,2020 Bolt EV,13758,-3.09,-5.15,-15.1
09-02-2025,14507.17060367454,2020 Bolt EV,13758,-3.09,-5.15,-15.1
09-04-2025,14487.15147453083,2020 Bolt EV,13758,-3.09,-5.15,-15.1
