Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-23-2025,33221.6412601626,2025 Equinox EV,26545,-5.15,-15.55,0.0
07-25-2025,33037.00965250965,2025 Equinox EV,26545,-5.15,-15.55,0.0
07-27-2025,32845.19847328244,2025 Equinox EV,26545,-5.15,-15.55,0.0
07-29-2025,32672.807984790874,2025 Equinox EV,26545,-5.15,-15.55,0.0
07-31-2025,32539.6494140625,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-02-2025,32430.000957854405,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-04-2025,32328.85037878788,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-06-2025,32258.042592592592,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-08-2025,32202.271698113207,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-10-2025,32180.776752767528,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-12-2025,32200.730916030534,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-14-2025,32211.73269230769,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-16-2025,32290.646739130436,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-18-2025,32355.448581560282,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-20-2025,32428.18581081081,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-22-2025,32509.916927899685,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-24-2025,32609.775229357798,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-26-2025,32679.420489296637,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-28-2025,32681.778592375365,2025 Equinox EV,26545,-5.15,-15.55,0.0
08-30-2025,32588.076811594205,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-01-2025,32555.158385093167,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-03-2025,32519.48417721519,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-05-2025,32450.70987654321,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-07-2025,32316.120588235295,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-09-2025,32177.398791540785,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-11-2025,32070.789772727272,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-13-2025,31972.0,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-15-2025,31789.099184782608,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-17-2025,31628.62361111111,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-19-2025,31485.80054644809,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-21-2025,31380.05,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-23-2025,31301.367816091955,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-25-2025,31252.248563218393,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-27-2025,31135.001412429378,2025 Equinox EV,26545,-5.15,-15.55,0.0
09-29-2025,31000.237609329448,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-01-2025,30847.355072463768,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-03-2025,30687.435483870966,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-05-2025,30525.756830601094,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-07-2025,30358.844173441736,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-09-2025,30170.767810026384,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-11-2025,30031.619170984457,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-13-2025,29936.947028423772,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-15-2025,29857.983695652172,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-17-2025,29775.176395939085,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-19-2025,29674.5368956743,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-21-2025,29555.27989821883,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-23-2025,29401.643920595532,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-25-2025,29244.25721153846,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-27-2025,29096.939110070256,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-29-2025,28974.252913752913,2025 Equinox EV,26545,-5.15,-15.55,0.0
10-31-2025,28865.77030162413,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-02-2025,28759.57962529274,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-04-2025,28675.10308056872,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-06-2025,28627.480549199085,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-08-2025,28549.230681818182,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-10-2025,28439.61574074074,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-12-2025,28326.86854460094,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-14-2025,28229.797018348625,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-16-2025,28143.495475113123,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-18-2025,28043.337931034483,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-20-2025,27927.124168514412,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-22-2025,27842.35319148936,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-24-2025,27795.296025104602,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-26-2025,27738.848195329087,2025 Equinox EV,26545,-5.15,-15.55,0.0
11-28-2025,27671.86239495798,2025 Equinox EV,26545,-5.15,-15.55,0.0
