Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-24-2025,26823.349827387803,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
07-26-2025,26765.534463276836,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
07-28-2025,26709.60777385159,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
07-30-2025,26672.489167616877,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-01-2025,26643.67077267637,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-03-2025,26630.226918798664,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-05-2025,26624.700455580867,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-07-2025,26643.09070548712,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-09-2025,26666.736842105263,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-11-2025,26683.480725623584,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-13-2025,26696.5199138859,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-15-2025,26699.00318133616,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-17-2025,26684.696296296297,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-19-2025,26662.91843220339,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-21-2025,26630.026232948585,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-23-2025,26588.38304392237,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-25-2025,26552.747701736465,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-27-2025,26513.932117527864,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-29-2025,26465.300804828974,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
08-31-2025,26402.661676646705,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-02-2025,26337.32482124617,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-04-2025,26264.231306081754,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-06-2025,26199.221674876848,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-08-2025,26134.432645034416,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-10-2025,26061.23069306931,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-12-2025,25992.296222664016,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-14-2025,25947.751253761286,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-16-2025,25902.91124871001,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-18-2025,25863.212398373984,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-20-2025,25813.39393939394,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
09-22-2025,25757.972533062053,2021 Mustang Mach-E,23076,-3.47,-10.51,-15.24
