Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-20-2025,30138.49850299401,2024 Prologue,27600,-3.24,-5.16,-30.57
07-22-2025,30063.085536547434,2024 Prologue,27600,-3.24,-5.16,-30.57
07-24-2025,29999.35109717868,2024 Prologue,27600,-3.24,-5.16,-30.57
07-26-2025,29947.293663060278,2024 Prologue,27600,-3.24,-5.16,-30.57
07-28-2025,29887.876923076925,2024 Prologue,27600,-3.24,-5.16,-30.57
07-30-2025,29831.61934477379,2024 Prologue,27600,-3.24,-5.16,-30.57
08-01-2025,29775.11716171617,2024 Prologue,27600,-3.24,-5.16,-30.57
08-03-2025,29701.960591133004,2024 Prologue,27600,-3.24,-5.16,-30.57
08-05-2025,29630.922297297297,2024 Prologue,27600,-3.24,-5.16,-30.57
08-07-2025,29555.423588039866,2024 Prologue,27600,-3.24,-5.16,-30.57
08-09-2025,29489.799682034976,2024 Prologue,27600,-3.24,-5.16,-30.57
08-11-2025,29435.35081967213,2024 Prologue,27600,-3.24,-5.16,-30.57
08-13-2025,29384.185737976783,2024 Prologue,27600,-3.24,-5.16,-30.57
08-15-2025,29335.978618421053,2024 Prologue,27600,-3.24,-5.16,-30.57
08-17-2025,29299.370731707317,2024 Prologue,27600,-3.24,-5.16,-30.57
08-19-2025,29270.292387543253,2024 Prologue,27600,-3.24,-5.16,-30.57
08-21-2025,29253.97594501718,2024 Prologue,27600,-3.24,-5.16,-30.57
08-23-2025,29236.50959860384,2024 Prologue,27600,-3.24,-5.16,-30.57
08-25-2025,29214.633333333335,2024 Prologue,27600,-3.24,-5.16,-30.57
08-27-2025,29196.815789473683,2024 Prologue,27600,-3.24,-5.16,-30.57
08-29-2025,29171.64336917563,2024 Prologue,27600,-3.24,-5.16,-30.57
08-31-2025,29155.604127579736,2024 Prologue,27600,-3.24,-5.16,-30.57
09-02-2025,29142.657258064515,2024 Prologue,27600,-3.24,-5.16,-30.57
09-04-2025,29115.491346153845,2024 Prologue,27600,-3.24,-5.16,-30.57
09-06-2025,29092.96278625954,2024 Prologue,27600,-3.24,-5.16,-30.57
09-08-2025,29089.15949119374,2024 Prologue,27600,-3.24,-5.16,-30.57
09-10-2025,29092.005870841487,2024 Prologue,27600,-3.24,-5.16,-30.57
09-12-2025,29101.40881763527,2024 Prologue,27600,-3.24,-5.16,-30.57
09-14-2025,29102.5,2024 Prologue,27600,-3.24,-5.16,-30.57
09-16-2025,29100.201807228917,2024 Prologue,27600,-3.24,-5.16,-30.57
09-18-2025,29111.125760649087,2024 Prologue,27600,-3.24,-5.16,-30.57
09-20-2025,29151.514583333334,2024 Prologue,27600,-3.24,-5.16,-30.57
09-22-2025,29187.594922737306,2024 Prologue,27600,-3.24,-5.16,-30.57
09-24-2025,29220.240184757506,2024 Prologue,27600,-3.24,-5.16,-30.57
09-26-2025,29245.86496350365,2024 Prologue,27600,-3.24,-5.16,-30.57
09-28-2025,29263.924574209246,2024 Prologue,27600,-3.24,-5.16,-30.57
09-30-2025,29282.54862842893,2024 Prologue,27600,-3.24,-5.16,-30.57
10-02-2025,29290.411270983215,2024 Prologue,27600,-3.24,-5.16,-30.57
10-04-2025,29268.97463768116,2024 Prologue,27600,-3.24,-5.16,-30.57
10-06-2025,29229.02505966587,2024 Prologue,27600,-3.24,-5.16,-30.57
10-08-2025,29161.052009456263,2024 Prologue,27600,-3.24,-5.16,-30.57
10-10-2025,29105.174882629108,2024 Prologue,27600,-3.24,-5.16,-30.57
10-12-2025,29058.852739726026,2024 Prologue,27600,-3.24,-5.16,-30.57
10-14-2025,29007.990543735224,2024 Prologue,27600,-3.24,-5.16,-30.57
10-16-2025,28945.712643678162,2024 Prologue,27600,-3.24,-5.16,-30.57
10-18-2025,28889.337104072398,2024 Prologue,27600,-3.24,-5.16,-30.57
10-20-2025,28844.91724137931,2024 Prologue,27600,-3.24,-5.16,-30.57
10-22-2025,28828.391100702574,2024 Prologue,27600,-3.24,-5.16,-30.57
10-24-2025,28819.845265588916,2024 Prologue,27600,-3.24,-5.16,-30.57
10-26-2025,28818.8125,2024 Prologue,27600,-3.24,-5.16,-30.57
