Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
08-15-2025,44019.4,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-17-2025,43995.31901840491,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-19-2025,43938.620951417004,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-21-2025,43893.34337797619,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-23-2025,43854.63303571429,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-25-2025,43810.538270377736,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-27-2025,43781.08425414364,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-29-2025,43701.87722332016,2025 Ioniq 5,37636,-1.64,-5.88,0.0
08-31-2025,43556.01817288801,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-02-2025,43347.242401960786,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-04-2025,43058.13288954635,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-06-2025,42690.154469548135,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-08-2025,42378.95966880342,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-10-2025,42282.53533878505,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-12-2025,42169.74545454545,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-14-2025,41902.35326086957,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-16-2025,41636.078855140186,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-18-2025,41152.00443786982,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-20-2025,40367.571856287424,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-22-2025,39985.72380239521,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-24-2025,39985.72380239521,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-26-2025,39653.087851405624,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-28-2025,39485.83793103448,2025 Ioniq 5,37636,-1.64,-5.88,0.0
09-30-2025,39485.83793103448,2025 Ioniq 5,37636,-1.64,-5.88,0.0
10-02-2025,39307.71636546185,2025 Ioniq 5,37636,-1.64,-5.88,0.0
10-04-2025,38977.7446969697,2025 Ioniq 5,37636,-1.64,-5.88,0.0
10-06-2025,38807.131097560974,2025 Ioniq 5,37636,-1.64,-5.88,0.0
10-08-2025,38807.131097560974,2025 Ioniq 5,37636,-1.64,-5.88,0.0
10-10-2025,38470.1006097561,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-19-2025,38337.3993902439,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-21-2025,38184.0224609375,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-23-2025,38044.21537558686,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-25-2025,37932.2930887372,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-27-2025,37857.06465517241,2025 Ioniq 5,37636,-1.64,-5.88,0.0
11-29-2025,37814.68953362256,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-01-2025,37802.97718978102,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-03-2025,37776.24555837563,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-05-2025,37743.89470338983,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-07-2025,37748.342741935485,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-09-2025,37787.212520938025,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-11-2025,37833.38488467875,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-13-2025,37859.06270491803,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-15-2025,37858.229892205636,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-17-2025,37822.52683028286,2025 Ioniq 5,37636,-1.64,-5.88,0.0
12-19-2025,37794.4375,2025 Ioniq 5,37636,-1.64,-5.88,0.0
07-24-2025,30491.87298747764,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
07-26-2025,30432.17947959787,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
07-28-2025,30385.175837320574,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
07-30-2025,30234.92378410439,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-01-2025,30203.503295386457,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-03-2025,30153.143802647413,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-05-2025,30118.89910933661,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-07-2025,30016.295454545456,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-09-2025,29944.388987566606,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-11-2025,29918.35714285714,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-13-2025,29785.15636474908,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-15-2025,30370.578698394496,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-17-2025,30314.616875712658,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-19-2025,30262.374926470588,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-21-2025,30182.859874429225,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-23-2025,30169.91990427928,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-25-2025,30254.49948286052,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-27-2025,29845.252589884218,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-29-2025,29743.78331881533,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
08-31-2025,29950.94440529876,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-02-2025,29908.716487133453,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-04-2025,29802.4386820331,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-06-2025,29761.257925072045,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-08-2025,29427.5922691373,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-10-2025,29155.683132147395,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-12-2025,29208.485046728973,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-14-2025,29212.337994971716,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-16-2025,29195.69515389653,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-18-2025,29479.044066455695,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-20-2025,29667.36114476075,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-22-2025,29361.47457359444,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-24-2025,29095.934732319893,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-26-2025,29663.018033292232,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-28-2025,29492.861014538557,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
09-30-2025,29257.849378881987,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-02-2025,29195.562544420754,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-04-2025,29153.15113480055,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-06-2025,29099.778331043955,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-08-2025,29033.90531561462,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-10-2025,28901.65459697733,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-12-2025,28792.27822580645,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-14-2025,28598.603836398226,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-16-2025,28524.76734375,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-18-2025,28472.518131530425,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-20-2025,28434.160703269587,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-22-2025,28331.62224264706,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-24-2025,28260.513807285548,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-26-2025,28166.32951877934,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-28-2025,28087.581332533013,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
10-30-2025,27991.886390186915,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-01-2025,27877.42855072464,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-03-2025,27714.862937273825,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-05-2025,27592.966515151515,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-07-2025,27464.887144549764,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-09-2025,27387.564841920375,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-11-2025,27237.001209921356,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-13-2025,27124.104154032746,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-15-2025,27037.377126099705,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-17-2025,26955.929471788717,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-19-2025,27154.212058656038,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-21-2025,27375.363757317722,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-23-2025,27284.29937304075,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-25-2025,27204.617492096942,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-27-2025,27212.27029858565,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
11-29-2025,27172.68649946638,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-01-2025,27179.997398762654,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-03-2025,27138.53420289855,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-05-2025,27103.400452488688,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-07-2025,27053.360893854748,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-09-2025,26995.564171883892,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-11-2025,26965.70341786108,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-13-2025,26832.61297043011,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-15-2025,26733.400761283305,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-17-2025,26639.585653104925,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
12-19-2025,26346.0380754818,Hyundai Ioniq 5,26572,-3.05,-10.31,-18.44
07-24-2025,25693.599397590362,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
07-26-2025,25587.950598802396,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
07-28-2025,25486.0,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
07-30-2025,25401.647826086955,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-01-2025,25340.42815249267,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-03-2025,25315.875370919883,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-05-2025,25286.0887345679,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-07-2025,25263.49251497006,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-09-2025,25262.71601208459,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-11-2025,25261.68810289389,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-13-2025,25226.93119266055,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-15-2025,25171.00075757576,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-17-2025,25117.26530612245,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-19-2025,25039.868035190615,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-21-2025,24972.80919220056,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-23-2025,24894.88444767442,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-25-2025,24805.864715189873,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-27-2025,24740.84335443038,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-29-2025,24712.153560830862,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
08-31-2025,24701.115168539327,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-02-2025,24700.79970760234,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-04-2025,24698.45231213873,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-06-2025,24712.521260997066,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-08-2025,24722.536474164135,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-10-2025,24718.755573248407,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-12-2025,24703.397058823528,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-14-2025,24653.113255033557,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-16-2025,24605.461403508772,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-18-2025,24554.19245283019,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-20-2025,24462.368470149253,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-22-2025,24381.643656716416,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-24-2025,24318.07641509434,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-26-2025,24306.034644194755,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-28-2025,24329.73705179283,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
09-30-2025,24342.761458333334,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-02-2025,24321.89870689655,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-04-2025,24308.969665271965,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-06-2025,24302.082653061225,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-08-2025,24294.647177419356,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-10-2025,24239.01711026616,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-12-2025,24168.798076923078,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-14-2025,24107.371296296296,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-16-2025,24079.60054347826,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-18-2025,24056.025089605733,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
10-20-2025,24010.68984962406,2022 Ioniq 5,21331,-4.54,-12.62,-21.91
