Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-23-2025,20063.921842105265,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
07-25-2025,20075.075623700624,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
07-27-2025,21055.768526785716,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
07-29-2025,20042.79542951542,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
07-31-2025,20577.26771255061,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-02-2025,21013.179788213627,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-04-2025,21011.37294332724,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-06-2025,20968.66582103321,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-08-2025,21071.990036231884,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-10-2025,21096.050446428573,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-12-2025,21129.994534220532,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-14-2025,21150.407514450868,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-16-2025,21107.140454545453,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-18-2025,21171.96875,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-20-2025,21225.595394736843,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-22-2025,21328.901132404182,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-24-2025,21382.173526863084,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-26-2025,21367.202987697714,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-28-2025,21293.409533898306,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
08-30-2025,21191.934135399675,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-01-2025,20751.554387568554,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-03-2025,20245.220603271984,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-05-2025,20245.044878296147,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-07-2025,20257.595833333333,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-09-2025,20269.05896226415,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-11-2025,20754.897792706335,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-13-2025,21160.365668402777,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
09-15-2025,20805.605102040816,Hyundai Kona Electric,19530,-1.69,-6.29,-4.6
