Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-22-2025,20358.049773755654,2022 Niro EV,17786,-3.42,-7.92,-15.7
07-24-2025,20325.59952606635,2022 Niro EV,17786,-3.42,-7.92,-15.7
07-26-2025,20286.588636363635,2022 Niro EV,17786,-3.42,-7.92,-15.7
07-28-2025,20257.451877934272,2022 Niro EV,17786,-3.42,-7.92,-15.7
07-30-2025,20227.18253968254,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-01-2025,20188.804250559286,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-03-2025,20137.079418344518,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-05-2025,20073.51708428246,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-07-2025,20003.803488372094,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-09-2025,19939.016355140186,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-11-2025,19860.307980049874,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-13-2025,19779.659429280397,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-15-2025,19727.39962121212,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-17-2025,19700.368654822334,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-19-2025,19697.69893899204,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-21-2025,19697.921153846153,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-23-2025,19693.143410852714,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-25-2025,19695.33611111111,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-27-2025,19699.85714285714,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-29-2025,19682.132394366196,2022 Niro EV,17786,-3.42,-7.92,-15.7
08-31-2025,19653.55,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-02-2025,19618.38656069364,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-04-2025,19574.972301136364,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-06-2025,19528.636301369865,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-08-2025,19481.489525139667,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-10-2025,19448.16597222222,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-12-2025,19418.834045584044,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-14-2025,19391.051749271137,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-16-2025,19353.120253164558,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-18-2025,19329.77310231023,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-20-2025,19305.659698996657,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-22-2025,19283.317543859648,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-24-2025,19250.148745519713,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-26-2025,19286.41332116788,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-28-2025,19342.65056818182,2022 Niro EV,17786,-3.42,-7.92,-15.7
09-30-2025,19411.475409836065,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-02-2025,19483.942396313363,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-04-2025,19568.715596330276,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-06-2025,19632.637096774193,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-08-2025,19677.2,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-10-2025,19650.828054298643,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-12-2025,19608.79845814978,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-14-2025,19560.60407239819,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-16-2025,19489.0235426009,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-18-2025,19388.396475770925,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-20-2025,19299.349780701756,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-22-2025,19219.04661016949,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-24-2025,19144.78497942387,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-26-2025,19064.75,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-28-2025,18978.20918367347,2022 Niro EV,17786,-3.42,-7.92,-15.7
10-30-2025,18902.14837398374,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-01-2025,18834.426652892562,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-03-2025,18771.867708333335,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-05-2025,18721.04958677686,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-07-2025,18679.35,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-09-2025,18625.443675889328,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-11-2025,18569.447674418603,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-13-2025,18512.408745247147,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-15-2025,18467.908653846152,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-17-2025,18433.42231075697,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-19-2025,18395.93218623482,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-21-2025,18352.75,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-23-2025,18311.198616600792,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-25-2025,18270.45281124498,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-27-2025,18224.364068441064,2022 Niro EV,17786,-3.42,-7.92,-15.7
11-29-2025,18169.288679245285,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-01-2025,18096.34962406015,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-03-2025,18024.45,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-05-2025,17948.882142857143,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-07-2025,17896.08910034602,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-09-2025,17850.400179856115,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-11-2025,17815.066363636364,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-13-2025,17791.9926199262,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-15-2025,17784.267723880595,2022 Niro EV,17786,-3.42,-7.92,-15.7
12-17-2025,17780.307761732853,2022 Niro EV,17786,-3.42,-7.92,-15.7
07-22-2025,24164.317956349205,2024 Niro EV,23341,-0.83,-7.95,0.0
07-24-2025,24168.50341796875,2024 Niro EV,23341,-0.83,-7.95,0.0
07-26-2025,24189.45664206642,2024 Niro EV,23341,-0.83,-7.95,0.0
07-28-2025,24222.91681985294,2024 Niro EV,23341,-0.83,-7.95,0.0
07-30-2025,24262.48540856031,2024 Niro EV,23341,-0.83,-7.95,0.0
08-01-2025,24317.933198380568,2024 Niro EV,23341,-0.83,-7.95,0.0
08-03-2025,24402.259978991595,2024 Niro EV,23341,-0.83,-7.95,0.0
08-05-2025,24513.75558035714,2024 Niro EV,23341,-0.83,-7.95,0.0
08-07-2025,24639.859375,2024 Niro EV,23341,-0.83,-7.95,0.0
08-09-2025,24748.069565217393,2024 Niro EV,23341,-0.83,-7.95,0.0
08-11-2025,24855.3639380531,2024 Niro EV,23341,-0.83,-7.95,0.0
08-13-2025,24982.429298642535,2024 Niro EV,23341,-0.83,-7.95,0.0
08-15-2025,25133.56906392694,2024 Niro EV,23341,-0.83,-7.95,0.0
08-17-2025,25290.125553097347,2024 Niro EV,23341,-0.83,-7.95,0.0
08-19-2025,25411.62012987013,2024 Niro EV,23341,-0.83,-7.95,0.0
08-21-2025,25485.369725738397,2024 Niro EV,23341,-0.83,-7.95,0.0
08-23-2025,25538.740506329115,2024 Niro EV,23341,-0.83,-7.95,0.0
08-25-2025,25597.653930131004,2024 Niro EV,23341,-0.83,-7.95,0.0
08-27-2025,25651.27157079646,2024 Niro EV,23341,-0.83,-7.95,0.0
08-29-2025,25683.438058035714,2024 Niro EV,23341,-0.83,-7.95,0.0
08-31-2025,25684.61086956522,2024 Niro EV,23341,-0.83,-7.95,0.0
09-02-2025,25686.137609649122,2024 Niro EV,23341,-0.83,-7.95,0.0
09-04-2025,25720.436659192826,2024 Niro EV,23341,-0.83,-7.95,0.0
09-06-2025,25756.58012820513,2024 Niro EV,23341,-0.83,-7.95,0.0
09-08-2025,25760.692901234568,2024 Niro EV,23341,-0.83,-7.95,0.0
09-10-2025,25731.037093495936,2024 Niro EV,23341,-0.83,-7.95,0.0
09-12-2025,25671.474903474904,2024 Niro EV,23341,-0.83,-7.95,0.0
09-14-2025,25597.338315217392,2024 Niro EV,23341,-0.83,-7.95,0.0
09-16-2025,25513.093521897812,2024 Niro EV,23341,-0.83,-7.95,0.0
09-18-2025,25410.07527372263,2024 Niro EV,23341,-0.83,-7.95,0.0
