Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-22-2025,26050.559476605868,Nissan Ariya,23921,-3.88,-8.03,-10.29
07-24-2025,25971.7817679558,Nissan Ariya,23921,-3.88,-8.03,-10.29
07-26-2025,25899.17471264368,Nissan Ariya,23921,-3.88,-8.03,-10.29
07-28-2025,25835.195990180033,Nissan Ariya,23921,-3.88,-8.03,-10.29
07-30-2025,25774.502433090023,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-01-2025,25718.4120788825,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-03-2025,25666.515939597317,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-05-2025,25615.16205704408,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-07-2025,25589.659090909092,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-09-2025,25551.102150537634,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-11-2025,25513.581818181818,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-13-2025,25471.729741763134,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-15-2025,25467.817555938036,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-17-2025,25483.89282627485,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-19-2025,25493.40737327189,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-21-2025,25494.62190650779,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-23-2025,25502.37559580553,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-25-2025,25510.786917740337,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-27-2025,25545.335539714866,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-29-2025,25579.86152324431,Nissan Ariya,23921,-3.88,-8.03,-10.29
08-31-2025,25616.266467065867,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-02-2025,25648.072333685323,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-04-2025,25685.393240343346,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-06-2025,25737.77630180659,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-08-2025,25789.437842278203,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-10-2025,25836.574888641426,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-12-2025,25886.98708677686,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-14-2025,25939.95072614108,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-16-2025,25977.05033557047,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-18-2025,26003.56113537118,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-20-2025,26007.618296529967,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-22-2025,26016.1802646086,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-24-2025,26030.583990980835,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-26-2025,26069.351380042463,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-28-2025,26110.312761506277,Nissan Ariya,23921,-3.88,-8.03,-10.29
09-30-2025,26170.580522306856,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-02-2025,26237.16332218506,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-04-2025,26284.3,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-06-2025,26323.34284232365,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-08-2025,26354.232558139534,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-10-2025,26341.784256559768,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-12-2025,26305.45821596244,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-14-2025,26261.536190476192,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-16-2025,26617.846980976014,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-18-2025,26524.963496448305,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-20-2025,26453.90183504341,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-22-2025,26174.528768233387,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-24-2025,26061.38145100972,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-26-2025,26113.987863217575,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-28-2025,26013.648898365318,Nissan Ariya,23921,-3.88,-8.03,-10.29
10-30-2025,25916.445561719833,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-01-2025,25819.750666666667,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-03-2025,25717.685483870966,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-05-2025,25624.547016129032,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-07-2025,25524.35973520249,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-09-2025,25429.450132978724,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-11-2025,25333.49552785924,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-13-2025,25219.763904816515,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-15-2025,25089.679020787746,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-17-2025,24950.581201870187,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-19-2025,24836.80002763958,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-21-2025,24742.19802452316,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-23-2025,24658.496851040527,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-25-2025,24591.13813583007,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-27-2025,24531.898510114817,Nissan Ariya,23921,-3.88,-8.03,-10.29
11-29-2025,24470.60468412527,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-01-2025,24418.740310610225,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-03-2025,24365.545987991267,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-05-2025,24299.33342105263,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-07-2025,24215.366071428572,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-09-2025,24137.905840754323,Nissan Ariya,23921,-3.88,-8.03,-10.29
12-11-2025,24065.505524152108,Nissan Ariya,23921,-3.88,-8.03,-10.29
