Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-21-2025,12957.208669354839,2019 LEAF,12118,1.58,-3.51,-7.63
07-23-2025,12959.23509414226,2019 LEAF,12118,1.58,-3.51,-7.63
07-25-2025,12958.59286437247,2019 LEAF,12118,1.58,-3.51,-7.63
07-27-2025,12991.371527777777,2019 LEAF,12118,1.58,-3.51,-7.63
07-29-2025,13026.632583682009,2019 LEAF,12118,1.58,-3.51,-7.63
07-31-2025,13054.621126033058,2019 LEAF,12118,1.58,-3.51,-7.63
08-02-2025,13057.251063829788,2019 LEAF,12118,1.58,-3.51,-7.63
08-04-2025,13074.29149159664,2019 LEAF,12118,1.58,-3.51,-7.63
08-06-2025,13101.103395061727,2019 LEAF,12118,1.58,-3.51,-7.63
08-08-2025,13090.932963709678,2019 LEAF,12118,1.58,-3.51,-7.63
08-10-2025,13052.258603238866,2019 LEAF,12118,1.58,-3.51,-7.63
08-12-2025,13014.861224489796,2019 LEAF,12118,1.58,-3.51,-7.63
08-14-2025,12983.207805907174,2019 LEAF,12118,1.58,-3.51,-7.63
08-16-2025,12974.648958333333,2019 LEAF,12118,1.58,-3.51,-7.63
08-18-2025,12949.02363445378,2019 LEAF,12118,1.58,-3.51,-7.63
08-20-2025,12922.366612554113,2019 LEAF,12118,1.58,-3.51,-7.63
08-22-2025,12905.311239919354,2019 LEAF,12118,1.58,-3.51,-7.63
08-24-2025,12884.320525291829,2019 LEAF,12118,1.58,-3.51,-7.63
08-26-2025,12866.1665,2019 LEAF,12118,1.58,-3.51,-7.63
08-28-2025,12836.9504048583,2019 LEAF,12118,1.58,-3.51,-7.63
08-30-2025,12788.115712851406,2019 LEAF,12118,1.58,-3.51,-7.63
09-01-2025,12768.831922310757,2019 LEAF,12118,1.58,-3.51,-7.63
09-03-2025,12747.252155172413,2019 LEAF,12118,1.58,-3.51,-7.63
09-05-2025,12742.110745614034,2019 LEAF,12118,1.58,-3.51,-7.63
09-07-2025,12741.164591633466,2019 LEAF,12118,1.58,-3.51,-7.63
