Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
09-23-2025,20355.04564249364,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
09-25-2025,20433.12302631579,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
09-27-2025,20922.54296875,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
09-29-2025,20514.956038135595,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-01-2025,20958.140196917808,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-03-2025,21605.668333333335,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-05-2025,21696.425531914894,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-07-2025,21733.396796218487,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-09-2025,21695.257142857143,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-11-2025,20550.492994100296,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-13-2025,20897.22342519685,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-15-2025,20276.327414772728,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-17-2025,20180.101648351647,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-19-2025,20203.31715425532,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-21-2025,20197.035857908846,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-23-2025,20282.80497382199,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-25-2025,20348.137025316457,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-27-2025,20347.11142676768,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-29-2025,20354.91503164557,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
10-31-2025,20734.527222222223,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-02-2025,20661.226278409093,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-04-2025,20150.186268472906,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-06-2025,20132.869247512437,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-08-2025,20058.048343373495,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-10-2025,20029.623935523116,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-12-2025,19989.628924418605,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-14-2025,19987.65151949541,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-16-2025,19954.221756152125,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-18-2025,19883.12569754464,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-20-2025,19864.908837579616,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-22-2025,19855.68516112266,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-24-2025,19816.194065126052,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-26-2025,19749.567741090148,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-28-2025,19697.16281185031,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
11-30-2025,19646.258834388187,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-02-2025,19642.831956289978,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-04-2025,19704.311520887728,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-06-2025,19688.16693239796,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-08-2025,19607.320580474934,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-10-2025,19570.077245308312,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-12-2025,19551.816431670282,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-14-2025,19495.41268776824,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-16-2025,19446.880657894737,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-18-2025,19429.99487704918,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-20-2025,19419.694219066936,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-22-2025,19372.24362244898,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-24-2025,19320.875,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-26-2025,19544.52410130719,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-28-2025,19844.77828791469,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
12-30-2025,19786.80267199017,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
01-01-2026,19403.314551422318,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
01-03-2026,19356.868669181036,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
01-05-2026,19028.03627008032,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
01-07-2026,18960.286479591836,Hyundai Kona Electric,18511,0.07,-6.82,-3.81
