Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-18-2025,22686.941724941724,2021 Model 3,21997,-2.12,-3.75,-11.19
07-20-2025,22665.35122786979,2021 Model 3,21997,-2.12,-3.75,-11.19
07-22-2025,22649.035861258082,2021 Model 3,21997,-2.12,-3.75,-11.19
07-24-2025,22637.149516770893,2021 Model 3,21997,-2.12,-3.75,-11.19
07-26-2025,22627.747594793436,2021 Model 3,21997,-2.12,-3.75,-11.19
07-28-2025,22634.08457142857,2021 Model 3,21997,-2.12,-3.75,-11.19
07-30-2025,22648.564073226546,2021 Model 3,21997,-2.12,-3.75,-11.19
08-01-2025,22664.696202531646,2021 Model 3,21997,-2.12,-3.75,-11.19
08-03-2025,22683.873853211007,2021 Model 3,21997,-2.12,-3.75,-11.19
08-05-2025,22702.456942003515,2021 Model 3,21997,-2.12,-3.75,-11.19
08-07-2025,22718.419724770643,2021 Model 3,21997,-2.12,-3.75,-11.19
08-09-2025,22741.16515837104,2021 Model 3,21997,-2.12,-3.75,-11.19
08-11-2025,22769.884816753925,2021 Model 3,21997,-2.12,-3.75,-11.19
08-13-2025,22796.565819861433,2021 Model 3,21997,-2.12,-3.75,-11.19
08-15-2025,22828.45629965948,2021 Model 3,21997,-2.12,-3.75,-11.19
08-17-2025,22849.70906949352,2021 Model 3,21997,-2.12,-3.75,-11.19
08-19-2025,22864.994475138123,2021 Model 3,21997,-2.12,-3.75,-11.19
08-21-2025,22869.10120481928,2021 Model 3,21997,-2.12,-3.75,-11.19
08-23-2025,22875.35304990758,2021 Model 3,21997,-2.12,-3.75,-11.19
08-25-2025,22872.049222797927,2021 Model 3,21997,-2.12,-3.75,-11.19
08-27-2025,22872.54774535809,2021 Model 3,21997,-2.12,-3.75,-11.19
08-29-2025,22871.52269779507,2021 Model 3,21997,-2.12,-3.75,-11.19
08-31-2025,22865.910273081925,2021 Model 3,21997,-2.12,-3.75,-11.19
09-02-2025,22870.68530020704,2021 Model 3,21997,-2.12,-3.75,-11.19
09-04-2025,22890.87299371947,2021 Model 3,21997,-2.12,-3.75,-11.19
09-06-2025,22889.818745692624,2021 Model 3,21997,-2.12,-3.75,-11.19
09-08-2025,22885.847033595426,2021 Model 3,21997,-2.12,-3.75,-11.19
09-10-2025,22886.602018745492,2021 Model 3,21997,-2.12,-3.75,-11.19
09-12-2025,22882.0,2021 Model 3,21997,-2.12,-3.75,-11.19
09-14-2025,22882.56614509246,2021 Model 3,21997,-2.12,-3.75,-11.19
09-16-2025,22869.008289374528,2021 Model 3,21997,-2.12,-3.75,-11.19
09-18-2025,22837.045285820343,2021 Model 3,21997,-2.12,-3.75,-11.19
09-20-2025,22822.774553571428,2021 Model 3,21997,-2.12,-3.75,-11.19
09-22-2025,22805.83582089552,2021 Model 3,21997,-2.12,-3.75,-11.19
09-24-2025,22790.135289323553,2021 Model 3,21997,-2.12,-3.75,-11.19
09-26-2025,22826.541946308724,2021 Model 3,21997,-2.12,-3.75,-11.19
09-28-2025,22879.153846153848,2021 Model 3,21997,-2.12,-3.75,-11.19
09-30-2025,22923.290858725763,2021 Model 3,21997,-2.12,-3.75,-11.19
10-02-2025,22973.32923076923,2021 Model 3,21997,-2.12,-3.75,-11.19
10-04-2025,23014.083665338647,2021 Model 3,21997,-2.12,-3.75,-11.19
10-06-2025,23053.97857838364,2021 Model 3,21997,-2.12,-3.75,-11.19
10-08-2025,23080.27110694184,2021 Model 3,21997,-2.12,-3.75,-11.19
10-10-2025,23059.35781383433,2021 Model 3,21997,-2.12,-3.75,-11.19
10-12-2025,23020.718775847807,2021 Model 3,21997,-2.12,-3.75,-11.19
10-14-2025,22988.42018196857,2021 Model 3,21997,-2.12,-3.75,-11.19
10-16-2025,22956.79268292683,2021 Model 3,21997,-2.12,-3.75,-11.19
10-18-2025,22926.572663000785,2021 Model 3,21997,-2.12,-3.75,-11.19
10-20-2025,22896.23977086743,2021 Model 3,21997,-2.12,-3.75,-11.19
10-22-2025,22877.015472312705,2021 Model 3,21997,-2.12,-3.75,-11.19
10-24-2025,22853.08003108003,2021 Model 3,21997,-2.12,-3.75,-11.19
10-26-2025,22827.382835820896,2021 Model 3,21997,-2.12,-3.75,-11.19
10-28-2025,22818.889955686853,2021 Model 3,21997,-2.12,-3.75,-11.19
10-30-2025,22808.45267791636,2021 Model 3,21997,-2.12,-3.75,-11.19
11-01-2025,22791.341654778887,2021 Model 3,21997,-2.12,-3.75,-11.19
11-03-2025,22760.483824586627,2021 Model 3,21997,-2.12,-3.75,-11.19
11-05-2025,22722.099857346646,2021 Model 3,21997,-2.12,-3.75,-11.19
11-07-2025,22686.132008516677,2021 Model 3,21997,-2.12,-3.75,-11.19
11-09-2025,22644.13593637021,2021 Model 3,21997,-2.12,-3.75,-11.19
11-11-2025,22590.75037037037,2021 Model 3,21997,-2.12,-3.75,-11.19
11-13-2025,22537.45983787767,2021 Model 3,21997,-2.12,-3.75,-11.19
11-15-2025,22490.496727272726,2021 Model 3,21997,-2.12,-3.75,-11.19
11-17-2025,22458.83621933622,2021 Model 3,21997,-2.12,-3.75,-11.19
11-19-2025,22418.740925266902,2021 Model 3,21997,-2.12,-3.75,-11.19
11-21-2025,22374.956521739132,2021 Model 3,21997,-2.12,-3.75,-11.19
11-23-2025,22339.606420097698,2021 Model 3,21997,-2.12,-3.75,-11.19
11-25-2025,22307.01373825018,2021 Model 3,21997,-2.12,-3.75,-11.19
11-27-2025,22275.860951008646,2021 Model 3,21997,-2.12,-3.75,-11.19
11-29-2025,22235.82863340564,2021 Model 3,21997,-2.12,-3.75,-11.19
12-01-2025,22190.71109456441,2021 Model 3,21997,-2.12,-3.75,-11.19
12-03-2025,22150.261194029852,2021 Model 3,21997,-2.12,-3.75,-11.19
12-05-2025,22112.46700507614,2021 Model 3,21997,-2.12,-3.75,-11.19
12-07-2025,22078.179943100997,2021 Model 3,21997,-2.12,-3.75,-11.19
12-09-2025,22047.2440087146,2021 Model 3,21997,-2.12,-3.75,-11.19
12-11-2025,22025.0,2021 Model 3,21997,-2.12,-3.75,-11.19
12-13-2025,22011.90035335689,2021 Model 3,21997,-2.12,-3.75,-11.19
12-15-2025,22001.59943181818,2021 Model 3,21997,-2.12,-3.75,-11.19
07-18-2025,20160.254437869822,2019 Model 3,19795,-1.42,-1.3,-11.45
07-20-2025,20183.079069767442,2019 Model 3,19795,-1.42,-1.3,-11.45
07-22-2025,20212.2995951417,2019 Model 3,19795,-1.42,-1.3,-11.45
07-24-2025,20258.451292246522,2019 Model 3,19795,-1.42,-1.3,-11.45
07-26-2025,20298.56393442623,2019 Model 3,19795,-1.42,-1.3,-11.45
07-28-2025,20330.588633288226,2019 Model 3,19795,-1.42,-1.3,-11.45
07-30-2025,20351.529177718832,2019 Model 3,19795,-1.42,-1.3,-11.45
08-01-2025,20368.473649538868,2019 Model 3,19795,-1.42,-1.3,-11.45
08-03-2025,20387.13037723362,2019 Model 3,19795,-1.42,-1.3,-11.45
08-05-2025,20390.902853260868,2019 Model 3,19795,-1.42,-1.3,-11.45
08-07-2025,20381.964043419266,2019 Model 3,19795,-1.42,-1.3,-11.45
08-09-2025,20377.940468227425,2019 Model 3,19795,-1.42,-1.3,-11.45
08-11-2025,20386.909527073338,2019 Model 3,19795,-1.42,-1.3,-11.45
08-13-2025,20404.61038961039,2019 Model 3,19795,-1.42,-1.3,-11.45
08-15-2025,20416.401749663528,2019 Model 3,19795,-1.42,-1.3,-11.45
08-17-2025,20404.00611828688,2019 Model 3,19795,-1.42,-1.3,-11.45
08-19-2025,20400.601529902644,2019 Model 3,19795,-1.42,-1.3,-11.45
08-21-2025,20397.00414078675,2019 Model 3,19795,-1.42,-1.3,-11.45
08-23-2025,20396.50433044637,2019 Model 3,19795,-1.42,-1.3,-11.45
08-25-2025,20392.580230196345,2019 Model 3,19795,-1.42,-1.3,-11.45
08-27-2025,20387.01107266436,2019 Model 3,19795,-1.42,-1.3,-11.45
08-29-2025,20366.618521078093,2019 Model 3,19795,-1.42,-1.3,-11.45
08-31-2025,20346.638386648123,2019 Model 3,19795,-1.42,-1.3,-11.45
09-02-2025,20313.9822616408,2019 Model 3,19795,-1.42,-1.3,-11.45
09-04-2025,20277.819312362837,2019 Model 3,19795,-1.42,-1.3,-11.45
09-06-2025,20236.876879026484,2019 Model 3,19795,-1.42,-1.3,-11.45
09-08-2025,20186.43964886613,2019 Model 3,19795,-1.42,-1.3,-11.45
09-10-2025,20132.011994002998,2019 Model 3,19795,-1.42,-1.3,-11.45
09-12-2025,20093.594736842104,2019 Model 3,19795,-1.42,-1.3,-11.45
09-14-2025,20071.725299401198,2019 Model 3,19795,-1.42,-1.3,-11.45
09-16-2025,20059.56317411402,2019 Model 3,19795,-1.42,-1.3,-11.45
09-18-2025,20055.930798479087,2019 Model 3,19795,-1.42,-1.3,-11.45
09-20-2025,20063.195195195196,2019 Model 3,19795,-1.42,-1.3,-11.45
09-22-2025,20079.462151394422,2019 Model 3,19795,-1.42,-1.3,-11.45
09-24-2025,20104.988645579888,2019 Model 3,19795,-1.42,-1.3,-11.45
09-26-2025,20175.207154742096,2019 Model 3,19795,-1.42,-1.3,-11.45
09-28-2025,20249.79659574468,2019 Model 3,19795,-1.42,-1.3,-11.45
09-30-2025,20330.21217712177,2019 Model 3,19795,-1.42,-1.3,-11.45
10-02-2025,20412.131683168318,2019 Model 3,19795,-1.42,-1.3,-11.45
10-04-2025,20474.66953199618,2019 Model 3,19795,-1.42,-1.3,-11.45
10-06-2025,20541.488764044945,2019 Model 3,19795,-1.42,-1.3,-11.45
10-08-2025,20600.266106442577,2019 Model 3,19795,-1.42,-1.3,-11.45
10-10-2025,20609.506272401435,2019 Model 3,19795,-1.42,-1.3,-11.45
10-12-2025,20606.470904207697,2019 Model 3,19795,-1.42,-1.3,-11.45
10-14-2025,20593.91981981982,2019 Model 3,19795,-1.42,-1.3,-11.45
10-16-2025,20570.04982206406,2019 Model 3,19795,-1.42,-1.3,-11.45
10-18-2025,20559.179509632224,2019 Model 3,19795,-1.42,-1.3,-11.45
10-20-2025,20537.49649737303,2019 Model 3,19795,-1.42,-1.3,-11.45
10-22-2025,20508.73813559322,2019 Model 3,19795,-1.42,-1.3,-11.45
10-24-2025,20475.67031118587,2019 Model 3,19795,-1.42,-1.3,-11.45
10-26-2025,20433.369636963696,2019 Model 3,19795,-1.42,-1.3,-11.45
10-28-2025,20390.119834710742,2019 Model 3,19795,-1.42,-1.3,-11.45
10-30-2025,20355.90073831009,2019 Model 3,19795,-1.42,-1.3,-11.45
11-01-2025,20310.92955465587,2019 Model 3,19795,-1.42,-1.3,-11.45
11-03-2025,20265.760851760853,2019 Model 3,19795,-1.42,-1.3,-11.45
11-05-2025,20225.82822580645,2019 Model 3,19795,-1.42,-1.3,-11.45
11-07-2025,20192.821951219514,2019 Model 3,19795,-1.42,-1.3,-11.45
11-09-2025,20162.22970779221,2019 Model 3,19795,-1.42,-1.3,-11.45
11-11-2025,20136.944580277097,2019 Model 3,19795,-1.42,-1.3,-11.45
11-13-2025,20105.506152584087,2019 Model 3,19795,-1.42,-1.3,-11.45
11-15-2025,20085.73747980614,2019 Model 3,19795,-1.42,-1.3,-11.45
11-17-2025,20072.647534357315,2019 Model 3,19795,-1.42,-1.3,-11.45
11-19-2025,20054.929522317932,2019 Model 3,19795,-1.42,-1.3,-11.45
11-21-2025,20024.170846394984,2019 Model 3,19795,-1.42,-1.3,-11.45
11-23-2025,19997.970724191062,2019 Model 3,19795,-1.42,-1.3,-11.45
11-25-2025,19971.630757220923,2019 Model 3,19795,-1.42,-1.3,-11.45
11-27-2025,19938.901515151516,2019 Model 3,19795,-1.42,-1.3,-11.45
11-29-2025,19903.200149925036,2019 Model 3,19795,-1.42,-1.3,-11.45
12-01-2025,19869.221003134797,2019 Model 3,19795,-1.42,-1.3,-11.45
