Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-24-2025,27844.18350571164,Tesla Model S,29569,1.14,3.21,-10.06
07-26-2025,27644.192286905498,Tesla Model S,29569,1.14,3.21,-10.06
07-28-2025,27530.609196768062,Tesla Model S,29569,1.14,3.21,-10.06
07-30-2025,27385.465167197453,Tesla Model S,29569,1.14,3.21,-10.06
08-01-2025,26446.49484924623,Tesla Model S,29569,1.14,3.21,-10.06
08-03-2025,26497.898351648353,Tesla Model S,29569,1.14,3.21,-10.06
08-05-2025,26451.20177061311,Tesla Model S,29569,1.14,3.21,-10.06
08-07-2025,27122.36730570839,Tesla Model S,29569,1.14,3.21,-10.06
08-09-2025,27338.443646502197,Tesla Model S,29569,1.14,3.21,-10.06
08-11-2025,27519.55827294686,Tesla Model S,29569,1.14,3.21,-10.06
08-13-2025,27572.918485733928,Tesla Model S,29569,1.14,3.21,-10.06
08-15-2025,27159.244242847173,Tesla Model S,29569,1.14,3.21,-10.06
08-17-2025,27663.055607397353,Tesla Model S,29569,1.14,3.21,-10.06
08-19-2025,27621.60602367688,Tesla Model S,29569,1.14,3.21,-10.06
08-21-2025,27630.96137714086,Tesla Model S,29569,1.14,3.21,-10.06
08-23-2025,27536.57325174825,Tesla Model S,29569,1.14,3.21,-10.06
08-25-2025,27297.845332850942,Tesla Model S,29569,1.14,3.21,-10.06
08-27-2025,27351.190506559768,Tesla Model S,29569,1.14,3.21,-10.06
08-29-2025,27447.027878677807,Tesla Model S,29569,1.14,3.21,-10.06
08-31-2025,27561.34632904609,Tesla Model S,29569,1.14,3.21,-10.06
09-02-2025,27773.315453323088,Tesla Model S,29569,1.14,3.21,-10.06
09-04-2025,27732.35057743279,Tesla Model S,29569,1.14,3.21,-10.06
09-06-2025,27879.175566493315,Tesla Model S,29569,1.14,3.21,-10.06
09-08-2025,27850.488976083707,Tesla Model S,29569,1.14,3.21,-10.06
09-10-2025,27703.80718529521,Tesla Model S,29569,1.14,3.21,-10.06
09-12-2025,27922.583062183658,Tesla Model S,29569,1.14,3.21,-10.06
09-14-2025,28123.45797258297,Tesla Model S,29569,1.14,3.21,-10.06
09-16-2025,28195.188016917295,Tesla Model S,29569,1.14,3.21,-10.06
