Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-24-2025,34802.4776674938,2024 Model Y,34632,-0.05,-0.12,-9.18
07-26-2025,34756.59976105137,2024 Model Y,34632,-0.05,-0.12,-9.18
07-28-2025,34699.59090909091,2024 Model Y,34632,-0.05,-0.12,-9.18
07-30-2025,34646.90133982948,2024 Model Y,34632,-0.05,-0.12,-9.18
08-01-2025,34611.75117370892,2024 Model Y,34632,-0.05,-0.12,-9.18
08-03-2025,34566.550691244236,2024 Model Y,34632,-0.05,-0.12,-9.18
08-05-2025,34528.02867383513,2024 Model Y,34632,-0.05,-0.12,-9.18
08-07-2025,34482.06197854589,2024 Model Y,34632,-0.05,-0.12,-9.18
08-09-2025,34431.54556074766,2024 Model Y,34632,-0.05,-0.12,-9.18
08-11-2025,34394.12254901961,2024 Model Y,34632,-0.05,-0.12,-9.18
08-13-2025,34368.112219451374,2024 Model Y,34632,-0.05,-0.12,-9.18
08-15-2025,34347.43933588761,2024 Model Y,34632,-0.05,-0.12,-9.18
08-17-2025,34342.13672922252,2024 Model Y,34632,-0.05,-0.12,-9.18
08-19-2025,34345.64397163121,2024 Model Y,34632,-0.05,-0.12,-9.18
08-21-2025,34355.391549295775,2024 Model Y,34632,-0.05,-0.12,-9.18
08-23-2025,34381.98816568047,2024 Model Y,34632,-0.05,-0.12,-9.18
08-25-2025,34419.67405063291,2024 Model Y,34632,-0.05,-0.12,-9.18
08-27-2025,34447.57781456954,2024 Model Y,34632,-0.05,-0.12,-9.18
08-29-2025,34478.924466338256,2024 Model Y,34632,-0.05,-0.12,-9.18
08-31-2025,34511.5173553719,2024 Model Y,34632,-0.05,-0.12,-9.18
09-02-2025,34550.75763016158,2024 Model Y,34632,-0.05,-0.12,-9.18
09-04-2025,34590.2817679558,2024 Model Y,34632,-0.05,-0.12,-9.18
09-06-2025,34607.81378026071,2024 Model Y,34632,-0.05,-0.12,-9.18
09-08-2025,34612.16888045541,2024 Model Y,34632,-0.05,-0.12,-9.18
09-10-2025,34616.24657534246,2024 Model Y,34632,-0.05,-0.12,-9.18
09-12-2025,34624.048059149725,2024 Model Y,34632,-0.05,-0.12,-9.18
09-14-2025,34630.74736842105,2024 Model Y,34632,-0.05,-0.12,-9.18
09-16-2025,34629.50184501845,2024 Model Y,34632,-0.05,-0.12,-9.18
09-18-2025,34634.209854014596,2024 Model Y,34632,-0.05,-0.12,-9.18
09-20-2025,34661.65217391304,2024 Model Y,34632,-0.05,-0.12,-9.18
09-22-2025,34683.76199616123,2024 Model Y,34632,-0.05,-0.12,-9.18
09-24-2025,34712.46464646464,2024 Model Y,34632,-0.05,-0.12,-9.18
09-26-2025,34735.34765625,2024 Model Y,34632,-0.05,-0.12,-9.18
09-28-2025,34765.66351606805,2024 Model Y,34632,-0.05,-0.12,-9.18
09-30-2025,34781.498046875,2024 Model Y,34632,-0.05,-0.12,-9.18
10-02-2025,34776.774491682074,2024 Model Y,34632,-0.05,-0.12,-9.18
10-04-2025,34761.31922398589,2024 Model Y,34632,-0.05,-0.12,-9.18
10-06-2025,34760.62591240876,2024 Model Y,34632,-0.05,-0.12,-9.18
10-08-2025,34748.294444444444,2024 Model Y,34632,-0.05,-0.12,-9.18
10-10-2025,34735.727611940296,2024 Model Y,34632,-0.05,-0.12,-9.18
10-12-2025,34711.189591078066,2024 Model Y,34632,-0.05,-0.12,-9.18
10-14-2025,34674.75486381323,2024 Model Y,34632,-0.05,-0.12,-9.18
10-16-2025,34635.4584139265,2024 Model Y,34632,-0.05,-0.12,-9.18
10-18-2025,34610.83269230769,2024 Model Y,34632,-0.05,-0.12,-9.18
10-20-2025,34594.85685483871,2024 Model Y,34632,-0.05,-0.12,-9.18
10-22-2025,34584.79338842975,2024 Model Y,34632,-0.05,-0.12,-9.18
10-24-2025,34584.950787401576,2024 Model Y,34632,-0.05,-0.12,-9.18
10-26-2025,34594.260162601626,2024 Model Y,34632,-0.05,-0.12,-9.18
10-28-2025,34624.74680851064,2024 Model Y,34632,-0.05,-0.12,-9.18
10-30-2025,34666.93963782696,2024 Model Y,34632,-0.05,-0.12,-9.18
