Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-23-2025,12191.164011437908,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
07-25-2025,12279.891733870967,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
07-27-2025,12201.079248366013,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
07-29-2025,12116.001034768213,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
07-31-2025,12095.520096463022,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-02-2025,12024.025676751593,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-04-2025,11996.050314465409,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-06-2025,11914.100884244373,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-08-2025,11958.422580645161,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-10-2025,12010.68102006689,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-12-2025,11965.83492524917,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-14-2025,12010.576113861385,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-16-2025,12032.868917785236,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-18-2025,11980.56806049822,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-20-2025,11983.275748239437,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-22-2025,12165.874134948097,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-24-2025,12123.561610320285,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-26-2025,12182.578181818182,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-28-2025,12163.029260299625,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
08-30-2025,12223.051568441064,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-01-2025,12175.023313492064,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-03-2025,12195.688012295082,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-05-2025,12158.893724696356,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-07-2025,12083.399291497975,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-09-2025,12077.929939516129,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-11-2025,12004.64224137931,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-13-2025,12119.465121722846,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-15-2025,12078.322150735294,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-17-2025,11966.450045620439,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-19-2025,11927.0468164794,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-21-2025,11881.145515267175,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-23-2025,11946.06475,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-25-2025,11890.9765625,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-27-2025,12006.725101626016,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
09-29-2025,12081.143987341773,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-01-2025,11175.932539682539,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-03-2025,11194.52184139785,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-05-2025,12015.521847345133,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-07-2025,12091.208967391305,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-09-2025,12233.877334024895,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-11-2025,12282.053645833334,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-13-2025,12149.25674273859,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-15-2025,12082.014917695473,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-17-2025,11994.017857142857,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-19-2025,11938.470212765957,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-21-2025,11903.487023305084,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-23-2025,11835.306770833333,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-25-2025,11799.53759765625,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-27-2025,11695.92638339921,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-29-2025,11586.064960629921,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
10-31-2025,11584.376442307692,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-02-2025,11418.088803088804,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-04-2025,11364.70084269663,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-06-2025,11352.661363636364,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-08-2025,11304.23097826087,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-10-2025,11266.754578754579,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-12-2025,11227.285615808823,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-14-2025,11240.999776785715,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-16-2025,11205.930027173914,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-18-2025,11171.761507220217,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-20-2025,11117.234042553191,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-22-2025,11085.528125,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-24-2025,11063.641195255474,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-26-2025,11038.480144404331,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-28-2025,10955.097855839416,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
11-30-2025,10968.379318181818,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-02-2025,10980.730453667953,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-04-2025,11001.758501838236,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-06-2025,11141.869212962964,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-08-2025,11209.149537037038,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-10-2025,11267.72901119403,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-12-2025,11204.51424632353,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-14-2025,11200.906910211268,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-16-2025,11212.234212802769,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
12-18-2025,11258.33,Volkswagen e-Golf,11319,1.6,-4.86,-5.21
07-23-2025,16050.379445606695,2019 e-Golf,14687,-1.43,-6.66,-8.99
07-25-2025,16005.712449596775,2019 e-Golf,14687,-1.43,-6.66,-8.99
07-27-2025,15964.952628968254,2019 e-Golf,14687,-1.43,-6.66,-8.99
07-29-2025,15943.935699588477,2019 e-Golf,14687,-1.43,-6.66,-8.99
07-31-2025,15936.413900414938,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-02-2025,15931.683367768595,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-04-2025,15915.945020746887,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-06-2025,15887.77277542373,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-08-2025,15869.136045258621,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-10-2025,15861.12821888412,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-12-2025,15859.465367965367,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-14-2025,15865.659334763948,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-16-2025,15887.022168803418,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-18-2025,15930.012387387387,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-20-2025,16003.325766509433,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-22-2025,16091.243495475113,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-24-2025,16167.962890625,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-26-2025,16249.214285714286,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-28-2025,16332.023104265403,2019 e-Golf,14687,-1.43,-6.66,-8.99
08-30-2025,16415.976941747573,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-01-2025,16481.25879396985,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-03-2025,16516.342923280423,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-05-2025,16500.648521505376,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-07-2025,16429.094089673912,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-09-2025,16321.567964480875,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-11-2025,16195.130347593584,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-13-2025,16041.84987437186,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-15-2025,15900.317857142858,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-17-2025,15791.15340909091,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-19-2025,15734.115671641792,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-21-2025,15734.170811518325,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-23-2025,15741.159986413044,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-25-2025,15766.309737569061,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-27-2025,15837.851955307262,2019 e-Golf,14687,-1.43,-6.66,-8.99
09-29-2025,15919.324928977272,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-01-2025,15966.298828125,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-03-2025,15996.099085365853,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-05-2025,16006.793904958678,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-07-2025,16018.163490853658,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-09-2025,16039.869350282486,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-11-2025,16049.099734042553,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-13-2025,16036.712365591398,2019 e-Golf,14687,-1.43,-6.66,-8.99
10-15-2025,16008.2033839779,2019 e-Golf,14687,-1.43,-6.66,-8.99
