Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-22-2025,24176.638321995466,2022 ID.4,20918,-2.86,-6.05,-21.8
07-24-2025,24086.765765765766,2022 ID.4,20918,-2.86,-6.05,-21.8
07-26-2025,24002.814814814814,2022 ID.4,20918,-2.86,-6.05,-21.8
07-28-2025,23920.690371991248,2022 ID.4,20918,-2.86,-6.05,-21.8
07-30-2025,23842.005274261603,2022 ID.4,20918,-2.86,-6.05,-21.8
08-01-2025,23781.15,2022 ID.4,20918,-2.86,-6.05,-21.8
08-03-2025,23749.845360824744,2022 ID.4,20918,-2.86,-6.05,-21.8
08-05-2025,23720.655913978495,2022 ID.4,20918,-2.86,-6.05,-21.8
08-07-2025,23681.15,2022 ID.4,20918,-2.86,-6.05,-21.8
08-09-2025,23630.24019607843,2022 ID.4,20918,-2.86,-6.05,-21.8
08-11-2025,23573.343373493975,2022 ID.4,20918,-2.86,-6.05,-21.8
08-13-2025,23511.879611650485,2022 ID.4,20918,-2.86,-6.05,-21.8
08-15-2025,23427.907335907337,2022 ID.4,20918,-2.86,-6.05,-21.8
08-17-2025,23322.8877159309,2022 ID.4,20918,-2.86,-6.05,-21.8
08-19-2025,23231.574757281553,2022 ID.4,20918,-2.86,-6.05,-21.8
08-21-2025,23141.77079303675,2022 ID.4,20918,-2.86,-6.05,-21.8
08-23-2025,23067.36210131332,2022 ID.4,20918,-2.86,-6.05,-21.8
08-25-2025,23005.33820662768,2022 ID.4,20918,-2.86,-6.05,-21.8
08-27-2025,22950.772819472615,2022 ID.4,20918,-2.86,-6.05,-21.8
08-29-2025,22912.782388663967,2022 ID.4,20918,-2.86,-6.05,-21.8
08-31-2025,22888.462890625,2022 ID.4,20918,-2.86,-6.05,-21.8
09-02-2025,22847.370103092784,2022 ID.4,20918,-2.86,-6.05,-21.8
09-04-2025,22809.12579957356,2022 ID.4,20918,-2.86,-6.05,-21.8
09-06-2025,22754.527892561982,2022 ID.4,20918,-2.86,-6.05,-21.8
09-08-2025,22688.89524838013,2022 ID.4,20918,-2.86,-6.05,-21.8
09-10-2025,22615.589285714286,2022 ID.4,20918,-2.86,-6.05,-21.8
09-12-2025,22540.247113163972,2022 ID.4,20918,-2.86,-6.05,-21.8
09-14-2025,22450.479545454546,2022 ID.4,20918,-2.86,-6.05,-21.8
09-16-2025,22367.325980392157,2022 ID.4,20918,-2.86,-6.05,-21.8
09-18-2025,22290.626225490196,2022 ID.4,20918,-2.86,-6.05,-21.8
09-20-2025,22244.82640586797,2022 ID.4,20918,-2.86,-6.05,-21.8
09-22-2025,22211.95013477089,2022 ID.4,20918,-2.86,-6.05,-21.8
09-24-2025,22198.58432835821,2022 ID.4,20918,-2.86,-6.05,-21.8
09-26-2025,22226.349537037036,2022 ID.4,20918,-2.86,-6.05,-21.8
09-28-2025,22280.64918032787,2022 ID.4,20918,-2.86,-6.05,-21.8
09-30-2025,22353.492673992674,2022 ID.4,20918,-2.86,-6.05,-21.8
10-02-2025,22437.074152542373,2022 ID.4,20918,-2.86,-6.05,-21.8
10-04-2025,22520.518162393164,2022 ID.4,20918,-2.86,-6.05,-21.8
10-06-2025,22607.108163265308,2022 ID.4,20918,-2.86,-6.05,-21.8
10-08-2025,22684.98720472441,2022 ID.4,20918,-2.86,-6.05,-21.8
10-10-2025,22731.311320754718,2022 ID.4,20918,-2.86,-6.05,-21.8
10-12-2025,22758.373188405796,2022 ID.4,20918,-2.86,-6.05,-21.8
10-14-2025,22769.958771929825,2022 ID.4,20918,-2.86,-6.05,-21.8
10-16-2025,22765.901337792642,2022 ID.4,20918,-2.86,-6.05,-21.8
10-18-2025,22748.38359375,2022 ID.4,20918,-2.86,-6.05,-21.8
10-20-2025,22727.334365325078,2022 ID.4,20918,-2.86,-6.05,-21.8
10-22-2025,22707.258487654322,2022 ID.4,20918,-2.86,-6.05,-21.8
10-24-2025,22665.976744186046,2022 ID.4,20918,-2.86,-6.05,-21.8
10-26-2025,22613.387883008356,2022 ID.4,20918,-2.86,-6.05,-21.8
10-28-2025,22555.37818696884,2022 ID.4,20918,-2.86,-6.05,-21.8
10-30-2025,22479.479748603353,2022 ID.4,20918,-2.86,-6.05,-21.8
11-01-2025,22386.871169916434,2022 ID.4,20918,-2.86,-6.05,-21.8
11-03-2025,22276.80291005291,2022 ID.4,20918,-2.86,-6.05,-21.8
11-05-2025,22152.550505050505,2022 ID.4,20918,-2.86,-6.05,-21.8
11-07-2025,22033.963443396227,2022 ID.4,20918,-2.86,-6.05,-21.8
11-09-2025,21922.20023148148,2022 ID.4,20918,-2.86,-6.05,-21.8
11-11-2025,21812.562352941175,2022 ID.4,20918,-2.86,-6.05,-21.8
11-13-2025,21716.399321266967,2022 ID.4,20918,-2.86,-6.05,-21.8
11-15-2025,21640.30376940133,2022 ID.4,20918,-2.86,-6.05,-21.8
11-17-2025,21569.908577878105,2022 ID.4,20918,-2.86,-6.05,-21.8
11-19-2025,21499.21364653244,2022 ID.4,20918,-2.86,-6.05,-21.8
11-21-2025,21436.64596949891,2022 ID.4,20918,-2.86,-6.05,-21.8
11-23-2025,21377.171081677705,2022 ID.4,20918,-2.86,-6.05,-21.8
11-25-2025,21313.84929906542,2022 ID.4,20918,-2.86,-6.05,-21.8
11-27-2025,21253.571917808218,2022 ID.4,20918,-2.86,-6.05,-21.8
11-29-2025,21191.281105990784,2022 ID.4,20918,-2.86,-6.05,-21.8
12-01-2025,21144.542394014963,2022 ID.4,20918,-2.86,-6.05,-21.8
12-03-2025,21100.41414141414,2022 ID.4,20918,-2.86,-6.05,-21.8
12-05-2025,21053.40147783251,2022 ID.4,20918,-2.86,-6.05,-21.8
12-07-2025,21009.000620347393,2022 ID.4,20918,-2.86,-6.05,-21.8
12-09-2025,20983.36381074169,2022 ID.4,20918,-2.86,-6.05,-21.8
12-11-2025,20965.186274509804,2022 ID.4,20918,-2.86,-6.05,-21.8
12-13-2025,20954.1,2022 ID.4,20918,-2.86,-6.05,-21.8
12-15-2025,20938.804400977995,2022 ID.4,20918,-2.86,-6.05,-21.8
12-17-2025,20925.008684863522,2022 ID.4,20918,-2.86,-6.05,-21.8
07-22-2025,26164.18699186992,2023 ID.4,22361,-3.85,-9.43,-20.67
07-24-2025,26110.218809980805,2023 ID.4,22361,-3.85,-9.43,-20.67
07-26-2025,26057.5136406397,2023 ID.4,22361,-3.85,-9.43,-20.67
07-28-2025,26008.97782063645,2023 ID.4,22361,-3.85,-9.43,-20.67
07-30-2025,25966.38345864662,2023 ID.4,22361,-3.85,-9.43,-20.67
08-01-2025,25926.99268738574,2023 ID.4,22361,-3.85,-9.43,-20.67
08-03-2025,25873.144556267154,2023 ID.4,22361,-3.85,-9.43,-20.67
08-05-2025,25819.147769516727,2023 ID.4,22361,-3.85,-9.43,-20.67
08-07-2025,25763.436875567666,2023 ID.4,22361,-3.85,-9.43,-20.67
08-09-2025,25701.41695804196,2023 ID.4,22361,-3.85,-9.43,-20.67
08-11-2025,25639.197860962566,2023 ID.4,22361,-3.85,-9.43,-20.67
08-13-2025,25568.50407978241,2023 ID.4,22361,-3.85,-9.43,-20.67
08-15-2025,25507.069058295965,2023 ID.4,22361,-3.85,-9.43,-20.67
08-17-2025,25466.19111111111,2023 ID.4,22361,-3.85,-9.43,-20.67
08-19-2025,25437.06654343808,2023 ID.4,22361,-3.85,-9.43,-20.67
08-21-2025,25399.245960502692,2023 ID.4,22361,-3.85,-9.43,-20.67
08-23-2025,25364.576241134753,2023 ID.4,22361,-3.85,-9.43,-20.67
08-25-2025,25324.192059095105,2023 ID.4,22361,-3.85,-9.43,-20.67
08-27-2025,25294.713508612873,2023 ID.4,22361,-3.85,-9.43,-20.67
08-29-2025,25256.052360515023,2023 ID.4,22361,-3.85,-9.43,-20.67
08-31-2025,25199.90774586597,2023 ID.4,22361,-3.85,-9.43,-20.67
09-02-2025,25126.02417188899,2023 ID.4,22361,-3.85,-9.43,-20.67
09-04-2025,25046.937664618086,2023 ID.4,22361,-3.85,-9.43,-20.67
09-06-2025,24970.90814558059,2023 ID.4,22361,-3.85,-9.43,-20.67
09-08-2025,24899.34328358209,2023 ID.4,22361,-3.85,-9.43,-20.67
09-10-2025,24835.44003527337,2023 ID.4,22361,-3.85,-9.43,-20.67
09-12-2025,24782.679228746714,2023 ID.4,22361,-3.85,-9.43,-20.67
09-14-2025,24742.33952254642,2023 ID.4,22361,-3.85,-9.43,-20.67
09-16-2025,24714.34103512015,2023 ID.4,22361,-3.85,-9.43,-20.67
09-18-2025,24697.217391304348,2023 ID.4,22361,-3.85,-9.43,-20.67
09-20-2025,24684.1931166348,2023 ID.4,22361,-3.85,-9.43,-20.67
09-22-2025,24684.53394123607,2023 ID.4,22361,-3.85,-9.43,-20.67
09-24-2025,24700.05666316894,2023 ID.4,22361,-3.85,-9.43,-20.67
09-26-2025,24754.78,2023 ID.4,22361,-3.85,-9.43,-20.67
09-28-2025,24804.125,2023 ID.4,22361,-3.85,-9.43,-20.67
09-30-2025,24832.194736842106,2023 ID.4,22361,-3.85,-9.43,-20.67
10-02-2025,24868.9110787172,2023 ID.4,22361,-3.85,-9.43,-20.67
10-04-2025,24909.803779069767,2023 ID.4,22361,-3.85,-9.43,-20.67
10-06-2025,24936.674851190477,2023 ID.4,22361,-3.85,-9.43,-20.67
10-08-2025,24940.011444921318,2023 ID.4,22361,-3.85,-9.43,-20.67
10-10-2025,24892.118798955613,2023 ID.4,22361,-3.85,-9.43,-20.67
10-12-2025,24828.25,2023 ID.4,22361,-3.85,-9.43,-20.67
10-14-2025,24775.967661691542,2023 ID.4,22361,-3.85,-9.43,-20.67
10-16-2025,24704.075560802834,2023 ID.4,22361,-3.85,-9.43,-20.67
10-18-2025,24609.649835345776,2023 ID.4,22361,-3.85,-9.43,-20.67
10-20-2025,24502.788440567067,2023 ID.4,22361,-3.85,-9.43,-20.67
10-22-2025,24386.459314775162,2023 ID.4,22361,-3.85,-9.43,-20.67
10-24-2025,24268.5499001996,2023 ID.4,22361,-3.85,-9.43,-20.67
10-26-2025,24168.049132947977,2023 ID.4,22361,-3.85,-9.43,-20.67
10-28-2025,24072.583815028902,2023 ID.4,22361,-3.85,-9.43,-20.67
10-30-2025,23984.151119402984,2023 ID.4,22361,-3.85,-9.43,-20.67
11-01-2025,23900.019699812383,2023 ID.4,22361,-3.85,-9.43,-20.67
11-03-2025,23824.000952380953,2023 ID.4,22361,-3.85,-9.43,-20.67
11-05-2025,23753.134179510427,2023 ID.4,22361,-3.85,-9.43,-20.67
11-07-2025,23685.7917383821,2023 ID.4,22361,-3.85,-9.43,-20.67
11-09-2025,23612.165971643037,2023 ID.4,22361,-3.85,-9.43,-20.67
11-11-2025,23528.922354948805,2023 ID.4,22361,-3.85,-9.43,-20.67
11-13-2025,23447.706566916044,2023 ID.4,22361,-3.85,-9.43,-20.67
11-15-2025,23373.95443645084,2023 ID.4,22361,-3.85,-9.43,-20.67
11-17-2025,23298.528932355337,2023 ID.4,22361,-3.85,-9.43,-20.67
11-19-2025,23214.20016339869,2023 ID.4,22361,-3.85,-9.43,-20.67
11-21-2025,23126.327214684756,2023 ID.4,22361,-3.85,-9.43,-20.67
11-23-2025,23043.44242902208,2023 ID.4,22361,-3.85,-9.43,-20.67
11-25-2025,22965.516129032258,2023 ID.4,22361,-3.85,-9.43,-20.67
11-27-2025,22888.970161290323,2023 ID.4,22361,-3.85,-9.43,-20.67
11-29-2025,22825.031325301206,2023 ID.4,22361,-3.85,-9.43,-20.67
12-01-2025,22759.056338028167,2023 ID.4,22361,-3.85,-9.43,-20.67
12-03-2025,22694.29716193656,2023 ID.4,22361,-3.85,-9.43,-20.67
12-05-2025,22636.4897314376,2023 ID.4,22361,-3.85,-9.43,-20.67
12-07-2025,22576.25250965251,2023 ID.4,22361,-3.85,-9.43,-20.67
12-09-2025,22518.85106382979,2023 ID.4,22361,-3.85,-9.43,-20.67
12-11-2025,22470.003112840466,2023 ID.4,22361,-3.85,-9.43,-20.67
12-13-2025,22434.72037914692,2023 ID.4,22361,-3.85,-9.43,-20.67
12-15-2025,22404.12251655629,2023 ID.4,22361,-3.85,-9.43,-20.67
12-17-2025,22375.84417670683,2023 ID.4,22361,-3.85,-9.43,-20.67
07-22-2025,24018.321092362345,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
07-24-2025,23999.675792011018,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
07-26-2025,23957.29978956229,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
07-28-2025,23923.73572291235,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
07-30-2025,23906.41075670173,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-01-2025,23899.539175344307,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-03-2025,23874.280499153978,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-05-2025,23856.35789703316,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-07-2025,23832.139768835616,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-09-2025,23795.359684610303,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-11-2025,23758.81338562753,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-13-2025,23696.525219298244,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-15-2025,23650.81902046293,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-17-2025,23615.3031239559,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-19-2025,23561.63976920427,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-21-2025,23535.463294993235,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-23-2025,23505.051123030506,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-25-2025,23442.575499311293,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-27-2025,23420.3256432247,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-29-2025,23435.398510709503,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
08-31-2025,23404.32220548862,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-02-2025,23383.492639327025,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-04-2025,23351.697014664805,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-06-2025,23309.443531649948,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-08-2025,23270.518600925596,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-10-2025,23226.407410746484,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-12-2025,23185.22126126126,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-14-2025,23144.91330058224,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-16-2025,23115.462731124808,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-18-2025,23095.602356836775,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-20-2025,23061.68762415574,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-22-2025,23075.639030612245,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-24-2025,23091.118713840675,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-26-2025,23109.54748151571,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-28-2025,23154.20731707317,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
09-30-2025,23168.58047670059,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-02-2025,23212.36439438268,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-04-2025,23266.729883381926,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-06-2025,23254.21046511628,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-08-2025,23270.95285149633,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-10-2025,23289.777971092077,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-12-2025,23290.67528292181,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-14-2025,23241.49398976982,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-16-2025,23196.294985250737,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-18-2025,23176.133614627284,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-20-2025,23128.31350141376,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-22-2025,23045.491608391607,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-24-2025,22989.51129385965,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-26-2025,22910.462030716724,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-28-2025,22845.792587776334,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
10-30-2025,22765.153481012658,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-01-2025,22668.86467598475,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-03-2025,22563.845833333333,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-05-2025,22497.840497737558,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-07-2025,22441.32770800628,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-09-2025,22348.664378337147,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-11-2025,22262.946673189825,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-13-2025,22189.59464148034,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-15-2025,22130.407247465264,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-17-2025,22049.420022796352,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-19-2025,21965.880707762557,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-21-2025,21900.350762932638,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-23-2025,21849.81426448737,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-25-2025,21798.504496747035,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
11-27-2025,21734.90549242424,Volkswagen ID.4,21333,-3.07,-7.53,-16.45
